edge_id,source,target,relationship,source_field,target_field,cardinality
Sale_Customer,Sale,Customer,belongs_to,customer_id,customer_id,many-to-one
Sale_Product,Sale,Product,sold_as,product_id,product_id,many-to-one
Sale_Channel,Sale,Channel,originated_in,channel_id,channel_id,many-to-one
Sale_Date,Sale,Date,occurred_on,transaction_date,date,many-to-one
CampaignTouch_Customer,CampaignTouch,Customer,targets,customer_id,customer_id,many-to-one
CampaignTouch_Sale,CampaignTouch,Sale,attributes_to,attributed_transaction_id,transaction_id,many-to-zero-or-one
WebEvent_Customer,WebEvent,Customer,performed_by,customer_id,customer_id,many-to-one
WebEvent_Product,WebEvent,Product,references,product_id,product_id,many-to-one
SalesKPI_Sale,SalesKPI,Sale,aggregates,"sales_month,region,segment,product_id,channel_id","transaction_date,region,segment,product_id,channel_id",many-to-many-summary
CustomerValue_Customer,CustomerValue,Customer,summarizes,customer_id,customer_id,one-to-one
CampaignROI_CampaignTouch,CampaignROI,CampaignTouch,aggregates,"campaign_month,campaign_id,channel","touch_date,campaign_id,channel",many-to-many-summary
ExecutiveSnapshot_SalesKPI,ExecutiveSnapshot,SalesKPI,rolls_up,reporting_period,sales_month,one-to-many-summary
ExecutiveSnapshot_CampaignROI,ExecutiveSnapshot,CampaignROI,rolls_up,reporting_period,campaign_month,one-to-many-summary
ProductPerformance_Sale,ProductPerformance,Sale,aggregates,product_id,product_id,one-to-many-summary
ChannelPerformance_Sale,ChannelPerformance,Sale,aggregates,"sales_month,channel_id","transaction_date,channel_id",many-to-many-summary
RegionSegmentScorecard_Customer,RegionSegmentScorecard,Customer,aggregates,"region,segment","region,segment",one-to-many-summary
